EntityID,Name,Behaviors,ScaryLevel
1,Apparition,"A faint, translucent form that flickers in and out of view. Its movements rarely follow natural patterns.",7
2,Shadow Figure,A pitch-black humanoid outline that absorbs light around it. Witnesses report an overwhelming sense of dread.,10
3,Poltergeist,Known for manipulating objects violently. Sudden loud knocks or crashes often accompany its presence.,3
4,Spectral Wolf,"A ghostly wolf that moves silently across terrain. Its eyes glow with an unnatural, icy luminance.",9
5,Phantom Child,A small figure heard giggling or crying in distant halls. It often appears just out of the corner of ones eye.,6
6,Unknown Entity,"Its form defies classification, shifting unpredictably. Observers note intense unease when near it.",7
7,Ectoplasmic Mass,A goo-like semi-transparent mass that quivers softly. It glides across surfaces as though searching for something.,3
8,Bigfoot,"A massive, hairy creature leaving enormous footprints. It emits deep grunts and disappears quickly into forests.",2
9,Chupacabra,A spined creature that prowls at night. Reports describe glowing eyes and livestock found completely drained.,5
10,Mothman,A winged humanoid with large reflective eyes. Sightings are often linked to impending disasters.,7
11,Bloody Mary,"Appears when summoned through mirrors. Witnesses report rapid, jarring movements and intense staring.",8
12,Casper,"A friendly, harmless spirit with gentle behavior. Frequently tries to communicate without causing fear.",4
13,Witches,Practitioners of dark or mysterious arts. Strange chants and floating symbols often accompany their rituals.,5
14,UFO,An unidentified airborne craft exhibiting impossible maneuvers. Emits a low hum before vanishing instantly.,3
15,Alien,A non-human intelligent being with unknown motives. Displays advanced technology and unpredictable behaviors.,9
16,SkinWalker,A shape-shifter that mimics voices and forms. Its transformations often include disturbing distortions.,9
17,Devil,A powerful malevolent figure radiating oppressive heat. Its presence induces terror and hallucinations.,10
