City,State,Region
Washington,DC,NorthEast 
South Bend,IN,Midwest
Baton Rouge,LA,SouthEast
Jeffersonville,IN,Midwest
Cleveland,OH,Midwest
Omaha,NE,Midwest
Charlotte,NC,SouthEast
Tucson,AZ,SouthWest
Charlotte,NC,SouthEast
Louisville,KY,Midwest
Spokane,WA,NorthWest
Boulder,CO,Midwest
Phoenix,AZ,SouthWest
Palatine,IL,Midwest
Colorado Springs,CO,Midwest
Roanoke,VA,NorthEast 
Paterson,NJ,NorthEast 
Jacksonville,FL,SouthEast
Fort Lauderdale,FL,SouthEast
San Francisco,CA,SouthWest
Manchester,NH,NorthEast 
Anchorage,AK,NorthWest
Youngstown,OH,Midwest
Glendale,CA,SouthEast
Boise,ID,NorthWest
Detroit,MI,Midwest
Milwaukee,WI,Midwest
New York City,NY,NorthEast 
Denver,CO,Midwest
Albany,NY,NorthEast 
Detroit,MI,Midwest
Harrisburg,PA,NorthEast 
Washington,DC,NorthEast 
Denver,CO,Midwest
Jacksonville,FL,SouthEast
Gadsden,AL,SouthEast
El Paso,TX,Midwest
Corpus Christi,TX,Midwest
Olympia,WA,NorthWest
San Antonio,TX,Midwest
San Antonio,TX,Midwest
Lincoln,NE,Midwest
Milwaukee,WI,Midwest
Salt Lake City,UT,SouthWest
Louisville,KY,Midwest
San Antonio,TX,Midwest
Shreveport,LA,SouthEast
Norfolk,VA,NorthEast 
Atlanta,GA,SouthEast
Cincinnati,OH,Midwest
Trenton,NJ,NorthEast 
Buffalo,NY,NorthEast 
Albuquerque,NM,SouthWest
Detroit,MI,Midwest
Cleveland,OH,Midwest
Dallas,TX,Midwest
Columbus,OH,Midwest
Evansville,IN,Midwest
Detroit,MI,Midwest
El Paso,TX,Midwest
New York City,NY,NorthEast 
Nashville,TN,Midwest
Atlanta,GA,SouthEast
San Jose,CA,SouthWest
Metairie,LA,SouthEast
Jacksonville,FL,SouthEast
Arlington,VA,NorthEast 
Los Angeles,CA,SouthWest
Monticello,MN,Midwest
Atlanta,GA,SouthEast
Pittsburgh,PA,NorthEast 
Atlanta,GA,SouthEast
Denver,CO,Midwest
New York City,NY,NorthEast 
Katy,TX,Midwest
Decatur,GA,SouthEast
Jacksonville,FL,SouthEast
Asheville,NC,SouthEast
Kansas City,MO,Midwest
Garden Grove,CA,SouthWest
Birmingham,AL,SouthEast
Norfolk,VA,NorthEast 
Miami,FL,SouthEast
Toledo,OH,Midwest
Santa Monica,CA,SouthWest
Oklahoma City,OK,Midwest
Lexington,KY,Midwest
Schenectady,NY,NorthEast 
El Paso,TX,Midwest
Lakeland,FL,SouthEast
Galveston,TX,Midwest
Louisville,KY,Midwest
Seattle,WA,NorthWest
Cincinnati,OH,Midwest
Orlando,FL,SouthEast
Washington,DC,NorthEast 
Oxnard,CA,SouthWest
Billings,MT,NorthWest
Austin,TX,Midwest
Pittsburgh,PA,NorthEast 
San Diego,CA,SouthWest
Texarkana,TX,Midwest
New York City,NY,NorthEast 
Philadelphia,PA,NorthEast 
Chicago,IL,Midwest
Champaign,IL,Midwest
Laurel,MD,NorthEast 
Chicago,IL,Midwest
Washington,DC,NorthEast 
Houston,TX,Midwest
